u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,speed_kph,travel_time,bridge,width,junction,ref,access
330632576,1819429763,0,1020099785,True,2,Calle 38 Sur,secondary,,False,65.979,"LINESTRING (-75.5928089 6.1728712, -75.5927583 6.1728359, -75.5923202 6.1725306)",50.0,4.8,,6,,,
330634172,11935924667,0,903623568,True,2,,trunk_link,,False,112.48700000000002,"LINESTRING (-75.5942695 6.1747336, -75.594378 6.1748184, -75.5944247 6.1748738, -75.5944418 6.1748994, -75.5944576 6.1749231, -75.5946505 6.1753178, -75.5946738 6.1753857, -75.5946793 6.1754263, -75.5946847 6.1754659, -75.5946766 6.1755412, -75.5946685 6.1756165)",47.4,8.5,,,,,
330634174,567902334,0,551505950,True,2,Calle 37 Sur,secondary,30,False,56.361,"LINESTRING (-75.5915318 6.1731291, -75.5919692 6.1733895)",30.0,6.8,,,,,
330634175,3270683213,0,1019186657,True,2,Calle 37 Sur,secondary,30,False,57.871,"LINESTRING (-75.589809 6.1721223, -75.5902587 6.1723887)",30.0,6.9,,,,,
330634175,340690368,0,30794379,False,,Carrera 45A,residential,,True,80.84800000000001,"LINESTRING (-75.589809 6.1721223, -75.5897905 6.1721537, -75.5894394 6.1727497)",35.0,8.3,,,,,
330634176,5919405591,0,1128023626,True,2,Calle 37 Sur,secondary,30,False,11.445,"LINESTRING (-75.5882477 6.171116, -75.5883341 6.1711727)",30.0,1.4,,,,,
330634176,340690125,0,1018644383,True,3,Carrera 43A,primary,,False,171.372,"LINESTRING (-75.5882477 6.171116, -75.5882216 6.1711553, -75.5878132 6.1717675, -75.5874309 6.1723516, -75.5873966 6.1724041)",46.8,13.2,,,,,
330634179,340690672,0,30028937,True,2,Carrera 42,tertiary,,False,94.173,"LINESTRING (-75.5869341 6.1702423, -75.58651 6.1709768)",60.0,5.7,,,,,
330634179,330645156,0,577291255,True,2,Calle 37 Sur,secondary,30,False,77.751,"LINESTRING (-75.5869341 6.1702423, -75.5875208 6.1706279)",30.0,9.3,,,,,
330634181,5534528338,0,577258425,True,3,Calle 37 Sur,secondary,,False,50.805,"LINESTRING (-75.585504 6.1693426, -75.5858919 6.1695876)",50.0,3.7,,,,,
