u,v,geometry,speed_mps,weigth
330634668,330634667,"LINESTRING (-75.5837718 6.1682303, -75.5843211 6.1685737)",5.0,17.64
330634668,1378816149,"LINESTRING (-75.5837718 6.1682303, -75.5833311 6.1689122)",4.4,24.806
330634669,330634668,"LINESTRING (-75.5832733 6.1679132, -75.583553 6.168089, -75.5837718 6.1682303)",5.0,16.67
330634669,330634993,"LINESTRING (-75.5832733 6.1679132, -75.5836523 6.1673232, -75.5836693 6.1672968)",5.8,19.01
330634987,5529679663,"LINESTRING (-75.580795 6.1649477, -75.5807139 6.1648859)",5.6,2.376
330634987,9389496829,"LINESTRING (-75.580795 6.1649477, -75.5808126 6.1648916, -75.5808396 6.1648225)",5.8,4.586
330634988,3572367369,"LINESTRING (-75.5812081 6.1654785, -75.5811774 6.1654401, -75.5809465 6.1651504)",5.0,12.04
330634988,9775935287,"LINESTRING (-75.5812081 6.1654785, -75.581176 6.1655291, -75.5808707 6.1660083)",3.6,25.262
330634990,3924033388,"LINESTRING (-75.5821267 6.1662462, -75.5819935 6.166174)",8.1,2.532
330634990,9397383703,"LINESTRING (-75.5821267 6.1662462, -75.5820915 6.1663077)",4.4,2.16
330634991,9397383706,"LINESTRING (-75.5826611 6.166558, -75.5825843 6.1665246)",7.8,1.418
330634991,1378816118,"LINESTRING (-75.5826611 6.166558, -75.5826793 6.1665291, -75.5830652 6.1659178, -75.5830811 6.1658927)",5.0,24.9
330634992,9397383706,"LINESTRING (-75.5831526 6.1669711, -75.5831009 6.166937, -75.5827685 6.1667173, -75.5826953 6.1666538, -75.5826489 6.1666049, -75.5825843 6.1665246)",7.8,13.758
330634992,1378853843,"LINESTRING (-75.5831526 6.1669711, -75.5831411 6.1669878, -75.5827902 6.1674991, -75.5827095 6.1675723)",2.5,42.67
330634993,5529679696,"LINESTRING (-75.5836693 6.1672968, -75.5837118 6.1672301)",5.8,1.89
330634993,330634992,"LINESTRING (-75.5836693 6.1672968, -75.5836227 6.1672674, -75.583199 6.1670003, -75.5831526 6.1669711)",7.8,12.71
330634994,330634668,"LINESTRING (-75.5841853 6.167614, -75.5841683 6.1676382, -75.5841644 6.167644, -75.5837718 6.1682303)",5.3,22.033
330634994,330634993,"LINESTRING (-75.5841853 6.167614, -75.5841316 6.1675806, -75.5838454 6.1674023, -75.5837077 6.1673197, -75.5836693 6.1672968)",6.1,15.43
